iter	Passed	Remaining
864	3444	537
865	3448	533
866	3451	529
867	3453	525
868	3456	521
869	3458	516
870	3461	512
871	3465	508
872	3468	504
873	3470	500
874	3473	496
875	3476	492
876	3478	487
877	3482	483
878	3485	479
879	3487	475
880	3490	471
881	3493	467
882	3496	463
883	3499	459
884	3502	455
885	3505	450
886	3507	446
887	3510	442
888	3514	438
889	3516	434
890	3519	430
891	3521	426
892	3524	422
893	3530	418
894	3533	414
895	3536	410
896	3538	406
897	3541	402
898	3543	398
899	3547	394
900	3550	390
901	3552	386
902	3555	381
903	3558	377
904	3563	374
905	3567	370
906	3570	366
907	3573	362
908	3577	358
909	3580	354
910	3583	350
911	3585	345
912	3588	341
913	3591	337
914	3595	334
915	3598	329
916	3600	325
917	3603	321
918	3606	317
919	3608	313
920	3612	309
921	3615	305
922	3617	301
923	3620	297
924	3624	293
925	3629	290
926	3631	286
927	3634	281
928	3637	277
929	3639	273
930	3643	270
931	3646	266
932	3649	262
933	3652	258
934	3654	254
935	3657	250
936	3661	246
937	3664	242
938	3666	238
939	3669	234
940	3673	230
941	3677	226
942	3681	222
943	3684	218
944	3688	214
945	3692	210
946	3695	206
947	3697	202
948	3700	198
949	3703	194
950	3705	190
951	3709	187
952	3713	183
953	3718	179
954	3729	175
955	3733	171
956	3737	167
957	3743	164
958	3746	160
959	3749	156
960	3752	152
961	3754	148
962	3760	144
963	3762	140
964	3765	136
965	3768	132
966	3771	128
967	3777	124
968	3780	120
969	3782	116
970	3785	113
971	3790	109
972	3794	105
973	3796	101
974	3799	97
975	3802	93
976	3806	89
977	3809	85
978	3812	81
979	3814	77
980	3817	73
981	3819	70
982	3824	66
983	3827	62
984	3830	58
985	3832	54
986	3835	50
987	3840	46
988	3842	42
989	3845	38
990	3850	34
991	3854	31
992	3858	27
993	3860	23
994	3863	19
995	3866	15
996	3868	11
997	3872	7
998	3875	3
999	3879	0
